ano,media_global,acesso_brasil
1990,96.26,87.47511
1991,91.51,90.606544
1992,86.99,88.80383
1993,83.97,89.99992
1994,82.75,91.88373
1995,81.79,91.7286
1996,79.92,92.867096
1997,79.04,93.35414
1998,78.29,94.19381
1999,78.26,94.76296
2000,75.44,94.4
2001,75.97,96.0
2002,76.16,96.7
2003,76.75,97.0
2004,77.27,96.8
2005,77.72,97.1
2006,78.65,97.6
2007,78.29,98.1
2008,78.97,98.5
2009,79.08,98.9
2010,79.94,98.6
2011,80.66,99.3
2012,81.36,99.5
2013,81.92,99.6
2014,82.67,99.7
2015,83.23,99.7
2016,84.21,99.7
2017,84.95,99.8
2018,85.56,99.7
2019,86.11,99.8
2020,86.65,99.7
2021,87.14,99.5
2022,87.45,100.0
