ano,correlacao_idh_geracao
2000,0.35303681189488395
2001,0.3547847450400238
2002,0.35373131218016746
2003,0.357354519140252
2004,0.3609833001394509
2005,0.36706719761889195
2006,0.36573026073666276
2007,0.34636891768963896
2008,0.34120672775805283
2009,0.3479034473465778
2010,0.34219781447859565
2011,0.3535891262690798
2012,0.36400006235260823
2013,0.3728297501317694
2014,0.3842988733040748
2015,0.3921847673625741
2016,0.4042835114895053
2017,0.4132334290026455
2018,0.41753837044034386
2019,0.42455203656392293
2020,0.4453144609498442
2021,0.4647554533229233
2022,0.48085610672405993
